Parameter,S1,S1_conf,ST,ST_conf
Cathode Diffusion ($D_p$),0.015180510301654486,0.018901121914128835,0.01086349471808335,0.003868720218883549
Anode Diffusion ($D_n$),0.02378806199457563,0.07497636378517908,0.1449837047240349,0.09758200617263846
Cathode Reaction Rate ($k_p$),0.006025768840655149,0.009094281939075535,0.003392971537890229,0.0016015480276214589
Anode Reaction Rate ($k_n$),-0.006150633475606909,0.005643431098992229,0.0014482645143993607,0.0006764845578970381
Cathode Particle Radius ($R_p$),0.053391062370547006,0.04285344276523337,0.062127481909738616,0.015545016547695018
Anode Particle Radius ($R_n$),0.10726017138078854,0.0846600819937019,0.21997396108437284,0.059674591605963674
"Cathode Max Conc. ($c_{max,p}$)",-0.0031074315265077683,0.03054468517959575,0.027023420707335884,0.007417651706655597
"Anode Max Conc. ($c_{max,n}$)",0.6228302937373786,0.1255000406862442,0.7416891077907394,0.14826569030856587
